Small Unit Installation Postcode,Dec 2010 - Installations Quantity,Dec 2010 - SGU Rated Output In kW
3936,134,200.15
3937,27,44.97
3938,48,65.829
3939,228,310.226
3940,33,50.091
3941,148,226.757
3942,33,47.696
3943,36,70.165
3944,11,17.41
3945,15,28.465
3946,9,15.9
3950,44,87.985
3951,14,24.963
3953,81,130.12
3954,8,17.09
3956,66,101.475
3957,1,2.88
3958,3,4.57
3959,54,78.1
3960,61,103.105
3962,15,21.89
3964,2,3.23
3965,4,7.565
3966,3,5.34
3967,5,4.39
3971,33,64.61
3975,140,233.187
3976,200,275.127
3977,646,1002.228
3978,12,22.72
3979,1,1.08
3980,37,51.322
3981,45,75.25
3984,61,89.411
3987,36,58.65
3988,15,20.095
3990,0,0
3991,4,5.86
3992,9,16.38
3995,95,167.33
3996,88,161.86
4000,35,73.804
4001,2,5.106
4004,0,0
4005,38,64.344
4006,23,49.857
4007,72,123.899
4008,5,8.71
4009,3,8.88
4010,12,25.98
4011,119,215.165
4012,173,254.639
4013,56,83.74
4014,191,299.399
4017,567,899.542
4018,109,162.947
4019,252,385.297
4020,310,524.424
4021,147,221.664
4022,111,184.76
4025,86,138.851
4030,132,218.348
4031,91,145.264
4032,129,204.153
4034,559,934.75
4035,457,725.425
4036,108,175.405
4037,133,225.885
4051,253,426.99
4053,533,855.18
4054,206,317.781
4055,389,608.644
4059,87,152.311
4060,154,268.284
4061,321,522.433
4062,1,1.5
4063,1,1.25
4064,77,148.114
4065,109,180.96
4066,104,170.747
4067,57,108.965
4068,187,342.193
4069,548,1011.696
4070,225,395.28
4073,171,292.177
4074,466,803.083
4075,289,460.797
4076,71,157.184
4077,380,605.748
4078,395,639.661
4101,162,291.078
4102,64,127.502
4103,116,175.699
4104,67,117.414
4105,139,221.837
4106,29,41.367
4107,91,137.796
4108,86,124.841
4109,647,1070.038
4110,139,235.592
4111,18,26.635
4112,123,205.323
4113,450,706.662
4114,335,529.067
4115,328,526.545
4116,394,674.899
4117,16,31.79
4118,524,849.36
4119,98,148.478
4120,67,123.708
4121,300,468.265
4122,639,997.905
4123,305,542.771
4124,472,830.152
4125,170,292.954
4127,424,684.16
4128,318,537.028
4129,100,152.373
4130,170,268.859
4131,145,214.824
4132,311,484.603
4133,302,457.647
4151,129,237.46
4152,658,1072.646
4153,72,151.219
4154,126,231.611
4155,29,107.225
4156,54,89.498
4157,423,648.016
4158,68,98.257
4159,415,661.848
4160,441,703.764
4161,360,557.439
4163,325,490.021
4164,318,515.776
4165,956,1444.952
4169,66,130.782
4170,244,432.062
4171,114,220.046
4172,52,84.572
4173,142,220.239
4174,38,62.89
4178,447,721.323
4179,428,635.474
4183,55,82.992
4184,430,577.556
4205,136,199.055
4207,1046,1688.898
4208,391,613.628
4209,410,717.341
